,ID,Name,Generation,Type 1,Type 2,Attack,Defense,Stamina,Max CP,Max HP,Height (m),Weight (kg),Base Capture Rate (%),Base Flee Rate (%),Distance to Candy (km),Image URL,Summary,About,Is Legendary
10,11,metapod,1,Bug,,45,80,137,450,120,0.7,9.9,25.0,9.0,1,https://images.gameinfo.io/pokemon/256/011-00.png,"Metapod is a Bug Pokémon which evolves from Caterpie. It is vulnerable to Fire, Flying and Rock moves. Metapod's strongest moveset is Bug Bite & Struggle and it has a Max CP of 450. Metapod evolves into Butterfree.",The shell covering this Pokémon's body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,False
11,12,butterfree,1,Bug,Flying,167,137,155,1827,134,1.1,32.0,12.5,6.0,1,https://images.gameinfo.io/pokemon/256/012-00.png,"Butterfree is a Bug & Flying Pokémon which evolves from Metapod. It is vulnerable to Rock, Fire, Flying, Ice and Electric moves. Butterfree's strongest moveset is Confusion & Bug Buzz and it has a Max CP of 1,827.","Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",False
12,13,weedle,1,Bug,Poison,63,50,120,456,106,0.3,3.2,50.0,20.0,1,https://images.gameinfo.io/pokemon/256/013-00.png,"Weedle is a Bug & Poison Pokémon. It is vulnerable to Fire, Flying, Rock and Psychic moves. Weedle's strongest moveset is Bug Bite & Return and it has a Max CP of 456. Weedle evolves into Kakuna.",Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,False
13,14,kakuna,1,Bug,Poison,46,75,128,432,113,0.6,10.0,25.0,9.0,1,https://images.gameinfo.io/pokemon/256/014-00.png,"Kakuna is a Bug & Poison Pokémon which evolves from Weedle. It is vulnerable to Fire, Flying, Rock and Psychic moves. Kakuna's strongest moveset is Bug Bite & Return and it has a Max CP of 432. Kakuna evolves into Beedrill.","Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.",False
14,15,beedrill,1,Bug,Poison,169,130,163,1846,140,1.0,29.5,12.5,6.0,1,https://images.gameinfo.io/pokemon/256/015-00.png,"Beedrill is a Bug & Poison Pokémon which evolves from Kakuna. It is vulnerable to Fire, Flying, Rock and Psychic moves. Beedrill's strongest moveset is Poison Jab & Sludge Bomb and it has a Max CP of 1,846.","Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.",False
15,16,pidgey,1,Normal,Flying,85,73,120,680,106,0.3,1.8,50.0,20.0,1,https://images.gameinfo.io/pokemon/256/016-00.png,"Pidgey is a Normal & Flying Pokémon. It is vulnerable to Ice, Rock and Electric moves. Pidgey's strongest moveset is Quick Attack & Aerial Ace and it has a Max CP of 680. Pidgey evolves into Pidgeotto.","Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.",False
16,17,pidgeotto,1,Normal,Flying,117,105,160,1194,138,1.1,30.0,25.0,9.0,1,https://images.gameinfo.io/pokemon/256/017-00.png,"Pidgeotto is a Normal & Flying Pokémon which evolves from Pidgey. It is vulnerable to Ice, Rock and Electric moves. Pidgeotto's strongest moveset is Wing Attack & Aerial Ace and it has a Max CP of 1,194. Pidgeotto evolves into Pidgeot.","Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",False
17,18,pidgeot,1,Normal,Flying,166,154,195,2129,165,1.5,39.5,12.5,6.0,1,https://images.gameinfo.io/pokemon/256/018-00.png,"Pidgeot is a Normal & Flying Pokémon which evolves from Pidgeotto. It is vulnerable to Ice, Rock and Electric moves. Pidgeot's strongest moveset is Air Slash & Hurricane and it has a Max CP of 2,129.","This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.",False
18,19,rattata,1,Normal,,103,70,102,734,92,0.3,3.5,50.0,20.0,1,https://images.gameinfo.io/pokemon/256/019-00.png,Rattata is a Normal Pokémon. It is vulnerable to Fighting moves. Rattata's strongest moveset is Quick Attack & Hyper Fang and it has a Max CP of 734. Rattata evolves into Raticate.,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.",False
19,20,raticate,1,Normal,,161,139,146,1730,127,0.7,18.5,20.0,7.0,1,https://images.gameinfo.io/pokemon/256/020-00.png,"Raticate is a Normal Pokémon which evolves from Rattata. It is vulnerable to Fighting moves. Raticate's strongest moveset is Quick Attack & Hyper Beam and it has a Max CP of 1,730.","Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",False
20,21,spearow,1,Normal,Flying,112,60,120,798,106,0.3,2.0,50.0,15.0,1,https://images.gameinfo.io/pokemon/256/021-00.png,"Spearow is a Normal & Flying Pokémon. It is vulnerable to Ice, Rock and Electric moves. Spearow's strongest moveset is Quick Attack & Sky Attack and it has a Max CP of 798. Spearow evolves into Fearow.","Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.",False
21,22,fearow,1,Normal,Flying,182,133,163,1997,140,1.2,38.0,20.0,7.0,1,https://images.gameinfo.io/pokemon/256/022-00.png,"Fearow is a Normal & Flying Pokémon which evolves from Spearow. It is vulnerable to Ice, Rock and Electric moves. Fearow's strongest moveset is Peck & Sky Attack and it has a Max CP of 1,997.",Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,False
22,23,ekans,1,Poison,,110,97,111,927,99,2.0,6.9,50.0,15.0,3,https://images.gameinfo.io/pokemon/256/023-00.png,Ekans is a Poison Pokémon. It is vulnerable to Psychic and Ground moves. Ekans's strongest moveset is Acid & Sludge Bomb and it has a Max CP of 927. Ekans evolves into Arbok.,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,False
23,24,arbok,1,Poison,,167,153,155,1921,134,3.5,65.0,20.0,7.0,3,https://images.gameinfo.io/pokemon/256/024-00.png,"Arbok is a Poison Pokémon which evolves from Ekans. It is vulnerable to Psychic and Ground moves. Arbok's strongest moveset is Acid & Gunk Shot and it has a Max CP of 1,921.","This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crushing embrace is impossible.",False
24,25,pikachu,1,Electric,,112,96,111,938,99,0.4,6.0,20.0,10.0,1,https://images.gameinfo.io/pokemon/256/025-00.png,Pikachu is an Electric Pokémon. It is vulnerable to Ground moves. Pikachu's strongest moveset is Thunder Shock & Wild Charge and it has a Max CP of 938. Pikachu evolves into Raichu.,"Whenever Pikachu comes across something new, it blasts it with a jolt of electricity. If you come across a blackened berry, it's evidence that this Pokémon mistook the intensity of its charge.",False
25,26,raichu,1,Electric,,193,151,155,2182,134,0.8,30.0,10.0,6.0,1,https://images.gameinfo.io/pokemon/256/026-00.png,"Raichu is an Electric Pokémon. It is vulnerable to Ground moves. Raichu's strongest moveset is Volt Switch & Wild Charge and it has a Max CP of 2,182.","If the electrical sacs become excessively charged, Raichu plants its tail in the ground and discharges. Scorched patches of ground will be found near this Pokémon's nest.",False
26,27,sandshrew,1,Ground,,126,120,137,1261,120,0.6,12.0,50.0,10.0,3,https://images.gameinfo.io/pokemon/256/027-00.png,"Sandshrew is a Ground Pokémon. It is vulnerable to Grass, Ice and Water moves. Sandshrew's strongest moveset is Mud Shot & Dig and it has a Max CP of 1,261. Sandshrew evolves into Sandslash.","Sandshrew's body is configured to absorb water without waste, enabling it to survive in an arid desert. This Pokémon curls up to protect itself from its enemies.",False
27,28,sandslash,1,Ground,,182,175,181,2374,154,1.0,29.5,20.0,6.0,3,https://images.gameinfo.io/pokemon/256/028-00.png,"Sandslash is a Ground Pokémon which evolves from Sandshrew. It is vulnerable to Grass, Ice and Water moves. Sandslash's strongest moveset is Mud Shot & Earthquake and it has a Max CP of 2,374.","Sandslash's body is covered by tough spikes, which are hardened sections of its hide. Once a year, the old spikes fall out, to be replaced with new spikes that grow out from beneath the old ones.",False
28,29,nidoran♀,1,Poison,,86,89,146,816,127,0.4,7.0,50.0,15.0,3,https://images.gameinfo.io/pokemon/256/029-00.png,Nidoran♀ is a Poison Pokémon. It is vulnerable to Psychic and Ground moves. Nidoran♀'s strongest moveset is Poison Sting & Sludge Bomb and it has a Max CP of 816. Nidoran♀ evolves into Nidorina.,"Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokémon. When enraged, it releases a horrible toxin from its horn.",False
29,30,nidorina,1,Poison,,117,120,172,1309,147,0.8,20.0,25.0,7.0,3,https://images.gameinfo.io/pokemon/256/030-00.png,"Nidorina is a Poison Pokémon which evolves from Nidoran♀. It is vulnerable to Psychic and Ground moves. Nidorina's strongest moveset is Poison Sting & Sludge Bomb and it has a Max CP of 1,309. Nidorina evolves into Nidoqueen.","When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.",False
30,31,nidoqueen,1,Poison,Ground,180,173,207,2488,175,1.3,60.0,12.5,5.0,3,https://images.gameinfo.io/pokemon/256/031-00.png,"Nidoqueen is a Poison & Ground Pokémon which evolves from Nidorina. It is vulnerable to Water, Ground, Ice and Psychic moves. Nidoqueen's strongest moveset is Poison Jab & Earthquake and it has a Max CP of 2,488.",Nidoqueen's body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,False
31,32,nidoran♂,1,Poison,,105,76,130,860,114,0.5,9.0,50.0,15.0,3,https://images.gameinfo.io/pokemon/256/032-00.png,Nidoran♂ is a Poison Pokémon. It is vulnerable to Psychic and Ground moves. Nidoran♂'s strongest moveset is Poison Sting & Sludge Bomb and it has a Max CP of 860. Nidoran♂ evolves into Nidorino.,"Nidoran♂ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon's notice.",False
32,33,nidorino,1,Poison,,137,111,156,1393,135,0.9,19.5,25.0,7.0,3,https://images.gameinfo.io/pokemon/256/033-00.png,"Nidorino is a Poison Pokémon which evolves from Nidoran♂. It is vulnerable to Psychic and Ground moves. Nidorino's strongest moveset is Poison Jab & Sludge Bomb and it has a Max CP of 1,393. Nidorino evolves into Nidoking.","Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.",False
33,34,nidoking,1,Poison,Ground,204,156,191,2567,162,1.4,62.0,12.5,5.0,3,https://images.gameinfo.io/pokemon/256/034-00.png,"Nidoking is a Poison & Ground Pokémon which evolves from Nidorino. It is vulnerable to Water, Ground, Ice and Psychic moves. Nidoking's strongest moveset is Poison Jab & Earthquake and it has a Max CP of 2,567.","Nidoking's thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.",False
34,35,clefairy,1,Fairy,,107,108,172,1155,147,0.6,7.5,30.0,10.0,1,https://images.gameinfo.io/pokemon/256/035-00.png,"Clefairy is a Fairy Pokémon which evolves from Cleffa. It is vulnerable to Steel and Poison moves. Clefairy's strongest moveset is Pound & Moonblast and it has a Max CP of 1,155. Clefairy evolves into Clefable.","On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.",False
35,36,clefable,1,Fairy,,178,162,216,2437,182,1.3,40.0,10.0,6.0,1,https://images.gameinfo.io/pokemon/256/036-00.png,"Clefable is a Fairy Pokémon which evolves from Clefairy. It is vulnerable to Steel and Poison moves. Clefable's strongest moveset is Charm & Meteor Mash and it has a Max CP of 2,437.","Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.",False
36,37,vulpix,1,Fire,,96,109,116,883,103,0.6,9.9,30.0,10.0,3,https://images.gameinfo.io/pokemon/256/037-00.png,"Vulpix is a Fire Pokémon. It is vulnerable to Ground, Rock and Water moves. Vulpix's strongest moveset is Ember & Flamethrower and it has a Max CP of 883. Vulpix evolves into Ninetales.","At the time of its birth, Vulpix has one white tail. The tail separates into six if this Pokémon receives plenty of love from its Trainer. The six tails become magnificently curled.",False
37,38,ninetales,1,Fire,,169,190,177,2279,151,1.1,19.9,10.0,6.0,3,https://images.gameinfo.io/pokemon/256/038-00.png,"Ninetales is a Fire Pokémon which evolves from Vulpix. It is vulnerable to Ground, Rock and Water moves. Ninetales's strongest moveset is Fire Spin & Overheat and it has a Max CP of 2,279.",Ninetales casts a sinister light from its bright red eyes to gain total control over its foe's mind. This Pokémon is said to live for a thousand years.,False
38,39,jigglypuff,1,Normal,Fairy,80,41,251,724,210,0.5,5.5,50.0,10.0,1,https://images.gameinfo.io/pokemon/256/039-00.png,Jigglypuff is a Normal & Fairy Pokémon which evolves from Igglybuff. It is vulnerable to Steel and Poison moves. Jigglypuff's strongest moveset is Pound & Dazzling Gleam and it has a Max CP of 724. Jigglypuff evolves into Wigglytuff.,Jigglypuff's vocal cords can freely adjust the wavelength of its voice. This Pokémon uses this ability to sing at precisely the right wavelength to make its foes most drowsy.,False
39,40,wigglytuff,1,Normal,Fairy,156,90,295,1926,244,1.0,12.0,20.0,6.0,1,https://images.gameinfo.io/pokemon/256/040-00.png,"Wigglytuff is a Normal & Fairy Pokémon which evolves from Jigglypuff. It is vulnerable to Steel and Poison moves. Wigglytuff's strongest moveset is Pound & Hyper Beam and it has a Max CP of 1,926.","Wigglytuff has large, saucerlike eyes. The surfaces of its eyes are always covered with a thin layer of tears. If any dust gets in this Pokémon's eyes, it is quickly washed away.",False
40,41,zubat,1,Poison,Flying,83,73,120,667,106,0.8,7.5,50.0,20.0,1,https://images.gameinfo.io/pokemon/256/041-00.png,"Zubat is a Poison & Flying Pokémon. It is vulnerable to Ice, Rock, Psychic and Electric moves. Zubat's strongest moveset is Quick Attack & Sludge Bomb and it has a Max CP of 667. Zubat evolves into Golbat.",Zubat remains quietly unmoving in a dark spot during the bright daylight hours. It does so because prolonged exposure to the sun causes its body to become slightly burned.,False
41,42,golbat,1,Poison,Flying,161,150,181,1976,154,1.6,55.0,20.0,7.0,1,https://images.gameinfo.io/pokemon/256/042-00.png,"Golbat is a Poison & Flying Pokémon which evolves from Zubat. It is vulnerable to Ice, Rock, Psychic and Electric moves. Golbat's strongest moveset is Wing Attack & Shadow Ball and it has a Max CP of 1,976. Golbat evolves into Crobat.","Golbat loves to drink the blood of living things. It is particularly active in the pitch black of night. This Pokémon flits around in the night skies, seeking fresh blood.",False
42,43,oddish,1,Grass,Poison,131,112,128,1228,113,0.5,5.4,60.0,15.0,3,https://images.gameinfo.io/pokemon/256/043-00.png,"Oddish is a Grass & Poison Pokémon. It is vulnerable to Fire, Flying, Ice and Psychic moves. Oddish's strongest moveset is Acid & Sludge Bomb and it has a Max CP of 1,228. Oddish evolves into Gloom.","During the daytime, Oddish buries itself in soil to absorb nutrients from the ground using its entire body. The more fertile the soil, the glossier its leaves become.",False
43,44,gloom,1,Grass,Poison,153,136,155,1681,134,0.8,8.6,30.0,7.0,3,https://images.gameinfo.io/pokemon/256/044-00.png,"Gloom is a Grass & Poison Pokémon which evolves from Oddish. It is vulnerable to Fire, Flying, Ice and Psychic moves. Gloom's strongest moveset is Acid & Sludge Bomb and it has a Max CP of 1,681. Gloom evolves into Vileplume, Bellossom.","Gloom releases a foul fragrance from the pistil of its flower. When faced with danger, the stench worsens. If this Pokémon is feeling calm and secure, it does not release its usual stinky aroma.",False
44,45,vileplume,1,Grass,Poison,202,167,181,2559,154,1.2,18.6,15.0,5.0,3,https://images.gameinfo.io/pokemon/256/045-00.png,"Vileplume is a Grass & Poison Pokémon which evolves from Gloom. It is vulnerable to Fire, Flying, Ice and Psychic moves. Vileplume's strongest moveset is Razor Leaf & Solar Beam and it has a Max CP of 2,559.","Vileplume's toxic pollen triggers atrocious allergy attacks. That's why it is advisable never to approach any attractive flowers in a jungle, however pretty they may be.",False
45,46,paras,1,Bug,Grass,121,99,111,1018,99,0.3,5.4,40.0,15.0,3,https://images.gameinfo.io/pokemon/256/046-00.png,"Paras is a Bug & Grass Pokémon. It is vulnerable to Fire, Flying, Poison, Rock, Bug and Ice moves. Paras's strongest moveset is Bug Bite & Seed Bomb and it has a Max CP of 1,018. Paras evolves into Parasect.","Night after night, they sneak into people's homes seeking food. A massive outbreak of them has become an issue of public concern.",False
46,47,parasect,1,Bug,Grass,165,146,155,1859,134,1.0,29.5,20.0,7.0,3,https://images.gameinfo.io/pokemon/256/047-00.png,"Parasect is a Bug & Grass Pokémon which evolves from Paras. It is vulnerable to Fire, Flying, Poison, Rock, Bug and Ice moves. Parasect's strongest moveset is Fury Cutter & Solar Beam and it has a Max CP of 1,859.","Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.",False
47,48,venonat,1,Bug,Poison,100,100,155,1004,134,1.0,30.0,50.0,15.0,3,https://images.gameinfo.io/pokemon/256/048-00.png,"Venonat is a Bug & Poison Pokémon. It is vulnerable to Fire, Flying, Rock and Psychic moves. Venonat's strongest moveset is Bug Bite & Signal Beam and it has a Max CP of 1,004. Venonat evolves into Venomoth.","It commands a nest of Rattata. Different nests don't get along, whipping up severe fights over feeding grounds.",False
48,49,venomoth,1,Bug,Poison,179,143,172,2082,147,1.5,12.5,20.0,7.0,3,https://images.gameinfo.io/pokemon/256/049-00.png,"Venomoth is a Bug & Poison Pokémon which evolves from Venonat. It is vulnerable to Fire, Flying, Rock and Psychic moves. Venomoth's strongest moveset is Infestation & Bug Buzz and it has a Max CP of 2,082.","Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.",False
49,50,diglett,1,Ground,,109,78,67,676,64,0.2,0.8,50.0,10.0,3,https://images.gameinfo.io/pokemon/256/050-00.png,"Diglett is a Ground Pokémon. It is vulnerable to Grass, Ice and Water moves. Diglett's strongest moveset is Mud-Slap & Return and it has a Max CP of 676. Diglett evolves into Dugtrio.","When you rub its cheeks, a sweet fragrance comes wafting out. However, you'll also get a light shock!",False
50,51,dugtrio,1,Ground,,167,136,111,1567,99,0.7,33.3,20.0,6.0,3,https://images.gameinfo.io/pokemon/256/051-00.png,"Dugtrio is a Ground Pokémon which evolves from Diglett. It is vulnerable to Grass, Ice and Water moves. Dugtrio's strongest moveset is Mud-Slap & Earthquake and it has a Max CP of 1,567.","Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.",False
51,52,meowth,1,Normal,,92,78,120,748,106,0.4,4.2,50.0,15.0,3,https://images.gameinfo.io/pokemon/256/052-00.png,Meowth is a Normal Pokémon. It is vulnerable to Fighting moves. Meowth's strongest moveset is Scratch & Return and it has a Max CP of 748. Meowth evolves into Persian.,"The skin on its back is as hard as steel. Predators go after its soft belly, so it clings to the ground desperately.",False
52,53,persian,1,Normal,,150,136,163,1689,140,1.0,32.0,20.0,7.0,3,https://images.gameinfo.io/pokemon/256/053-00.png,"Persian is a Normal Pokémon which evolves from Meowth. It is vulnerable to Fighting moves. Persian's strongest moveset is Scratch & Return and it has a Max CP of 1,689.",Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon's surrounding vicinity. It becomes docile if grabbed by the whiskers.,False
53,54,psyduck,1,Water,,122,95,137,1106,120,0.8,19.6,50.0,10.0,3,https://images.gameinfo.io/pokemon/256/054-00.png,"Psyduck is a Water Pokémon. It is vulnerable to Grass and Electric moves. Psyduck's strongest moveset is Water Gun & Aqua Tail and it has a Max CP of 1,106. Psyduck evolves into Golduck.","A long, long time ago, it lived in the desert. With its sharp claws fully extended, it can climb right up an iceberg without slipping.",False
54,55,golduck,1,Water,,191,162,190,2450,162,1.7,76.6,20.0,6.0,3,https://images.gameinfo.io/pokemon/256/055-00.png,"Golduck is a Water Pokémon which evolves from Psyduck. It is vulnerable to Grass and Electric moves. Golduck's strongest moveset is Confusion & Hydro Pump and it has a Max CP of 2,450.",The webbed flippers on its forelegs and hind legs and the streamlined body of Golduck give it frightening speed. This Pokémon is definitely much faster than even the most athletic swimmer.,False
55,56,mankey,1,Fighting,,148,82,120,1164,106,0.5,28.0,50.0,10.0,3,https://images.gameinfo.io/pokemon/256/056-00.png,"Mankey is a Fighting Pokémon. It is vulnerable to Fairy, Flying and Psychic moves. Mankey's strongest moveset is Karate Chop & Cross Chop and it has a Max CP of 1,164. Mankey evolves into Primeape.","They live together in a skulk, helping one another. Before eating their prey, they freeze it solid with their –58 degree Fahrenheit breath.",False
56,57,primeape,1,Fighting,,207,138,163,2288,140,1.0,32.0,20.0,6.0,3,https://images.gameinfo.io/pokemon/256/057-00.png,"Primeape is a Fighting Pokémon which evolves from Mankey. It is vulnerable to Fairy, Flying and Psychic moves. Primeape's strongest moveset is Counter & Close Combat and it has a Max CP of 2,288.","When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.",False
57,58,growlithe,1,Fire,,136,93,146,1243,127,0.7,19.0,30.0,10.0,3,https://images.gameinfo.io/pokemon/256/058-00.png,"Growlithe is a Fire Pokémon. It is vulnerable to Ground, Rock and Water moves. Growlithe's strongest moveset is Ember & Flamethrower and it has a Max CP of 1,243. Growlithe evolves into Arcanine.","Some said that deities visited mountains where Ninetales live, so in times long past, no one was allowed to go into those mountains.",False
58,59,arcanine,1,Fire,,227,166,207,3029,175,1.9,155.0,10.0,6.0,3,https://images.gameinfo.io/pokemon/256/059-00.png,"Arcanine is a Fire Pokémon which evolves from Growlithe. It is vulnerable to Ground, Rock and Water moves. Arcanine's strongest moveset is Fire Fang & Fire Blast and it has a Max CP of 3,029.","Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon's body is its source of power.",False
59,60,poliwag,1,Water,,101,82,120,829,106,0.6,12.4,50.0,15.0,3,https://images.gameinfo.io/pokemon/256/060-00.png,Poliwag is a Water Pokémon. It is vulnerable to Grass and Electric moves. Poliwag's strongest moveset is Bubble & Return and it has a Max CP of 829. Poliwag evolves into Poliwhirl.,The need to dig through volcanic rock in the ground has made them more powerful than the Diglett of other regions.,False
